代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价
600310.SH,广西能源,,37.13,09:30-09:45,6.99,6.68,6.32
688308.SH,欧科亿,机械基件,25.74,09:30-09:45,95.46,91.89,94.98
688693.SH,锴威特,半导体,21.06,09:30-09:45,54.90,54.90,54.90
000720.SZ,新能泰山,电气设备,20.67,09:30-09:45,5.50,5.10,4.96
003042.SZ,中农联合,农药化肥,19.13,09:30-09:45,18.58,19.77,19.77
600121.SH,郑州煤电,,17.79,09:30-09:45,5.30,5.53,5.32
000037.SZ,深南电A,火力发电,17.17,09:30-09:45,12.00,11.55,11.84
002263.SZ,大东南,,16.78,09:30-09:45,4.17,4.14,4.10
002455.SZ,百川股份,,16.69,09:30-09:45,14.91,14.34,14.82
000722.SZ,湖南发展,,16.43,09:30-09:45,16.80,15.48,15.71
002902.SZ,铭普光磁,,16.19,09:30-09:45,27.01,28.95,28.78
600396.SH,华电辽能,火力发电,16.14,09:30-09:45,8.46,8.09,8.09
600666.SH,奥瑞德,,15.96,09:30-09:45,5.80,5.58,6.24
600227.SH,赤天化,农药化肥,15.83,09:30-09:45,4.37,4.36,4.34
603618.SH,杭电股份,,15.66,09:30-09:45,24.98,26.69,26.71
000767.SZ,晋控电力,,15.62,09:30-09:45,4.97,4.58,4.58
301667.SZ,纳百川,,15.19,09:30-09:45,90.01,93.70,92.68
605299.SH,舒华体育,文教休闲,15.14,09:30-09:45,18.76,19.14,19.39
603585.SH,苏利股份,农药化肥,14.83,09:30-09:45,22.70,22.81,22.81
002361.SZ,神剑股份,,14.74,09:30-09:45,13.37,14.52,15.00
002310.SZ,东方新能,,14.72,09:30-09:45,4.09,3.70,3.80
600513.SH,联环药业,,14.72,09:30-09:45,26.37,28.17,28.17
001367.SZ,海森药业,化学制药,14.64,09:30-09:45,25.32,26.00,25.99
001256.SZ,炜冈科技,轻工机械,14.59,09:30-09:45,25.00,24.47,24.88
600152.SH,维科技术,电气设备,14.44,09:30-09:45,10.69,11.46,11.33
600982.SH,宁波能源,,14.32,09:30-09:45,7.10,6.69,6.62
000890.SZ,法尔胜,环境保护,14.19,09:30-09:45,13.95,14.83,14.83
600758.SH,辽宁能源,,14.05,09:30-09:45,5.09,4.98,4.98
002470.SZ,金正大,,13.96,09:30-09:45,3.19,3.19,3.22
300683.SZ,海特生物,生物制药,13.95,09:30-09:45,39.35,42.58,42.14
001896.SZ,豫能控股,,13.93,09:30-09:45,15.50,15.36,14.89
603358.SH,华达科技,,13.63,09:30-09:45,30.29,32.79,33.33
000968.SZ,蓝焰控股,,13.39,09:30-09:45,11.91,11.40,10.95
601015.SH,陕西黑猫,,13.33,09:30-09:45,5.15,5.21,5.07
600163.SH,中闽能源,,13.32,09:30-09:45,7.60,7.06,7.26
600726.SH,华电能源,,13.27,09:30-09:45,6.37,6.01,6.01
600488.SH,津药药业,,13.16,09:30-09:45,4.33,4.76,4.76
300204.SZ,舒泰神,,13.08,09:30-09:45,28.45,29.00,28.77
600539.SH,狮头股份,互联网,12.95,09:30-09:45,14.21,15.26,15.63
600722.SH,金牛化工,化工原料,12.93,09:30-09:45,18.21,17.85,16.50
603687.SH,大胜达,广告包装,12.77,09:30-09:45,14.37,14.40,16.12
002580.SZ,圣阳股份,,12.75,09:30-09:45,17.76,16.76,16.01
000692.SZ,惠天热电,供气供热,12.74,09:30-09:45,4.60,4.40,5.07
002309.SZ,中利集团,,12.47,09:30-09:45,4.26,4.41,4.76
000546.SZ,金圆股份,环境保护,12.47,09:30-09:45,6.69,6.99,6.83
301292.SZ,海科新源,,12.42,09:30-09:45,98.11,96.36,99.18
300497.SZ,富祥药业,,12.27,09:30-09:45,19.73,19.74,19.42
603248.SH,锡华科技,机械基件,12.01,09:30-09:45,29.42,28.64,28.56
002192.SZ,融捷股份,,11.75,09:30-09:45,83.35,83.30,81.98
600792.SH,云煤能源,焦炭加工,11.53,09:30-09:45,5.19,5.12,5.01
300385.SZ,雪浪环境,环境保护,11.32,09:30-09:45,15.75,16.87,19.82
002265.SZ,建设工业,,11.18,09:30-09:45,25.03,26.74,24.71
603601.SH,再升科技,玻璃,11.16,09:30-09:45,13.13,13.35,14.50
600821.SH,金开新能,,11.15,09:30-09:45,9.72,9.07,9.15
000993.SZ,闽东电力,,11.13,09:30-09:45,15.69,14.65,14.83
603272.SH,联翔股份,家居用品,11.10,09:30-09:45,32.32,33.74,35.55
605162.SH,新中港,供气供热,11.06,09:30-09:45,10.99,10.15,10.55
000601.SZ,韶能股份,,10.70,09:30-09:45,7.70,7.05,7.34
301008.SZ,宏昌科技,家用电器,10.60,09:30-09:45,35.24,35.24,35.24
002445.SZ,中南文化,,10.57,09:30-09:45,4.34,4.12,4.21
002644.SZ,佛慈制药,中成药,10.52,09:30-09:45,9.43,9.10,9.01
600110.SH,诺德股份,,10.45,09:30-09:45,9.01,8.94,9.10
300961.SZ,深水海纳,环境保护,10.44,09:30-09:45,12.67,14.50,14.38
300057.SZ,万顺新材,,10.39,09:30-09:45,6.77,7.13,6.94
688268.SH,华特气体,,10.24,09:30-09:45,104.99,104.99,98.51
301327.SZ,华宝新能,,10.12,09:30-09:45,78.93,76.44,74.82
