代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
688813.SH,泰金新能,专用机械,24.55,09:45,60.6,68.25,69.12,20.0
603585.SH,苏利股份,农药化肥,24.42,09:45,23.98,26.4,26.4,10.0
002580.SZ,圣阳股份,电气设备,23.37,09:45,22.79,22.1,22.97,10.0096
600396.SH,华电辽能,火力发电,23.34,09:45,7.6,8.0,8.03,10.0
603803.SH,瑞斯康达,通信设备,22.21,09:45,16.79,15.29,15.0,-1.7038
002364.SZ,中恒电气,电气设备,21.67,09:45,42.0,42.49,42.49,9.9922
002328.SZ,新朋股份,汽车配件,21.09,09:45,11.12,11.11,11.84,10.0372
001299.SZ,美能能源,供气供热,19.35,09:45,17.0,18.54,18.54,10.0297
000586.SZ,汇源通信,通信设备,18.77,09:45,20.63,21.6,23.19,7.3611
605162.SH,新中港,供气供热,18.02,09:45,13.49,14.0,14.05,1.8116
001896.SZ,豫能控股,火力发电,17.72,09:45,14.87,15.48,15.06,4.5108
600152.SH,维科技术,电气设备,17.61,09:45,10.81,11.89,11.89,9.9907
002980.SZ,华盛昌,电器仪表,17.57,09:45,59.6,64.12,64.14,9.9983
000968.SZ,蓝焰控股,石油开采,16.97,09:45,10.08,10.35,10.0,-1.7682
000889.SZ,中嘉博创,通信设备,16.96,09:45,3.89,4.31,4.31,9.949
603459.SH,C红板,元器件,16.15,09:45,64.7,63.3,62.18,-1.0188
600654.SH,中安科,仓储物流,16.03,09:45,4.46,4.55,4.52,0.6682
300385.SZ,雪浪环境,环境保护,15.9,09:45,14.5,13.59,13.72,-7.2973
301667.SZ,纳百川,汽车配件,15.88,09:45,107.56,106.5,109.99,1.3546
002902.SZ,铭普光磁,通信设备,15.86,09:45,30.62,31.1,30.29,-1.9106
301696.SZ,C三瑞,电气设备,15.58,09:45,114.0,112.75,120.19,1.4262
002051.SZ,中工国际,建筑工程,15.58,09:45,10.11,10.82,10.82,9.9593
002418.SZ,康盛股份,家用电器,15.02,09:45,6.21,5.98,6.1,-2.5559
002107.SZ,沃华医药,中成药,13.76,09:45,7.18,7.75,7.83,9.9719
603629.SH,利通电子,元器件,13.42,09:45,78.0,77.97,79.95,10.0028
603256.SH,宏和科技,玻璃,13.09,09:45,95.0,98.23,98.0,9.7424
600982.SH,宁波能源,供气供热,12.53,09:45,5.99,5.86,5.79,0.0
003036.SZ,泰坦股份,纺织机械,12.51,09:45,28.44,26.78,27.0,-2.7027
600337.SH,美克家居,家居用品,12.43,09:45,3.22,3.28,3.29,2.1739
301292.SZ,海科新源,化工原料,12.33,09:45,88.2,92.93,106.86,20.0
301189.SZ,奥尼电子,IT设备,12.0,09:45,59.78,66.97,71.99,20.0033
300943.SZ,春晖智控,机械基件,11.99,09:45,33.22,32.88,33.8,14.5763
300936.SZ,中英科技,元器件,11.88,09:45,64.64,70.6,70.0,9.0003
000919.SZ,金陵药业,化学制药,11.64,09:45,7.62,7.49,7.51,3.5862
600423.SH,柳化股份,农药化肥,11.52,09:45,3.11,2.93,2.98,-7.1651
605006.SH,山东玻纤,玻璃,11.5,09:45,10.18,10.46,10.55,-0.2836
002467.SZ,二六三,互联网,11.37,09:45,7.89,7.79,7.73,-1.7789
002990.SZ,盛视科技,软件服务,11.27,09:45,35.01,36.84,38.28,10.0
603777.SH,来伊份,食品,11.23,09:45,16.9,17.4,17.25,2.071
600726.SH,华电能源,火力发电,11.2,09:45,4.8,4.85,4.99,2.6749
301526.SZ,国际复材,玻璃,11.05,09:45,14.1,14.72,14.86,0.2023
002181.SZ,粤传媒,出版业,10.82,09:45,12.97,13.39,13.35,4.1342
603682.SH,锦和商管,房产服务,10.71,09:45,7.48,7.63,7.01,1.0086
603538.SH,美诺华,化学制药,10.65,09:45,48.07,48.26,50.96,6.0121
300561.SZ,*ST汇科,软件服务,10.43,09:45,16.93,17.04,16.55,1.6585
002342.SZ,巨力索具,机械基件,10.19,09:45,16.34,16.74,17.15,4.9572
600666.SH,奥瑞德,元器件,10.18,09:45,6.61,6.44,6.48,0.9346
002552.SZ,宝鼎科技,元器件,10.16,09:45,20.4,19.18,19.06,-1.1411
002542.SZ,中化岩土,建筑工程,10.11,09:45,2.26,2.14,2.16,-8.4746
002263.SZ,大东南,塑料,10.1,09:45,4.91,5.07,4.94,-1.002
688693.SH,锴威特,半导体,10.02,09:45,86.75,97.74,95.6,12.9623
