code,name,industry,period,close,close_chg,price_0930,price_0945,close_chg_0930,turnover_rate_f
000062.SZ,深圳华强,元器件,424,34.34,9.9936,30.81,31.44,2.04,35.37
000539.SZ,粤电力Ａ,火力发电,424,6.56,-8.2517,6.78,7.0,3.24,28.75
000889.SZ,中嘉博创,通信设备,424,4.79,10.1149,4.35,4.6,5.75,38.14
000890.SZ,法尔胜,环境保护,424,16.24,-3.1026,16.63,16.71,0.48,43.73
000892.SZ,欢瑞世纪,影视音像,424,5.16,-6.3521,4.96,5.13,3.43,20.42
001234.SZ,泰慕士,服饰,424,35.77,9.9938,32.22,35.0,8.63,43.64
002081.SZ,金螳螂,装修装饰,424,4.89,-9.9448,5.45,5.45,0.0,36.13
002201.SZ,九鼎新材,玻璃,424,14.2,-4.0541,14.2,15.25,7.39,32.66
002242.SZ,九阳股份,家用电器,424,11.37,-0.3506,11.69,12.53,7.19,30.5
002297.SZ,博云新材,航空,424,22.3,0.2698,21.57,22.4,3.85,34.16
002361.SZ,神剑股份,化工原料,424,21.46,-6.6551,22.77,23.38,2.68,44.12
002490.SZ,山东墨龙,化工机械,424,10.27,5.1177,9.9,10.39,4.95,45.68
002549.SZ,凯美特气,环境保护,424,19.98,6.2766,18.77,20.68,10.18,28.05
002580.SZ,圣阳股份,电气设备,424,27.7,2.7067,26.7,27.7,3.75,41.9
002606.SZ,大连电瓷,电气设备,424,14.03,5.1724,14.0,14.6,4.29,47.61
002866.SZ,传艺科技,IT设备,424,26.04,2.6005,24.64,26.29,6.7,31.25
002980.SZ,华盛昌,电器仪表,424,82.29,8.419,78.39,83.49,6.51,41.4
003027.SZ,同兴科技,环境保护,424,24.45,1.2422,23.84,25.65,7.59,26.62
003036.SZ,泰坦股份,纺织机械,424,33.59,9.9869,30.46,33.59,10.28,29.93
300067.SZ,安诺其,染料涂料,424,6.67,-8.2531,7.35,7.48,1.77,48.54
300283.SZ,温州宏丰,电气设备,424,11.75,20.0204,10.43,10.99,5.37,23.58
300434.SZ,金石亚药,化学制药,424,11.51,10.9932,11.8,12.37,4.83,34.64
300444.SZ,双杰电气,电气设备,424,16.1,0.625,16.63,17.6,5.83,30.76
300590.SZ,移为通信,通信设备,424,14.05,-3.5027,14.46,15.02,3.87,38.04
300613.SZ,富瀚微,半导体,424,56.08,20.0086,55.9,56.08,0.32,20.96
300721.SZ,怡达股份,化工原料,424,21.0,18.7111,18.04,18.86,4.55,62.42
300865.SZ,大宏立,专用机械,424,30.69,2.883,29.76,31.5,5.85,27.88
300890.SZ,翔丰华,电气设备,424,42.7,0.1407,41.89,44.45,6.11,37.57
300965.SZ,恒宇信通,航空,424,66.0,10.5528,60.3,67.67,12.22,28.67
300970.SZ,华绿生物,种植业,424,42.58,1.381,45.08,50.4,11.8,42.1
300975.SZ,商络电子,元器件,424,19.36,-6.6538,21.07,21.14,0.33,24.82
301077.SZ,星华新材,化工原料,424,38.59,19.9938,31.8,32.42,1.95,42.19
301176.SZ,逸豪新材,元器件,424,29.34,2.4441,30.25,31.88,5.39,21.86
301588.SZ,美新科技,家居用品,424,29.3,9.5327,29.17,30.93,6.03,41.58
301666.SZ,大普微-UW,IT设备,424,234.5,5.6354,220.03,238.52,8.4,41.3
600052.SH,东望时代,供气供热,424,4.3,-6.1135,4.9,4.9,0.0,23.74
600152.SH,维科技术,电气设备,424,12.96,10.017,11.79,12.96,9.92,19.39
600310.SH,广西能源,水力发电,424,5.09,-3.5985,5.29,5.5,3.97,37.83
600396.SH,华电辽能,火力发电,424,9.2,-6.409,9.65,10.79,11.81,64.43
600722.SH,金牛化工,化工原料,424,13.99,2.1168,13.56,14.34,5.75,43.22
600726.SH,华电能源,火力发电,424,5.8,10.0569,5.53,5.8,4.88,47.64
600736.SH,苏州高新,园区开发,424,8.5,1.5532,9.2,9.21,0.11,49.82
600770.SH,综艺股份,综合类,424,6.97,9.9369,6.97,6.97,0.0,12.45
600986.SH,浙文互联,互联网,424,12.3,1.4015,11.7,12.36,5.64,34.84
601016.SH,节能风电,新型电力,424,4.48,0.0,4.53,4.74,4.64,30.66
601778.SH,晶科科技,新型电力,424,7.17,-0.2782,7.54,7.87,4.38,37.39
603017.SH,中衡设计,建筑工程,424,15.26,-7.2904,16.0,16.09,0.56,30.36
603060.SH,国检集团,建筑工程,424,7.29,9.9548,7.06,7.29,3.26,22.19
603178.SH,圣龙股份,汽车配件,424,17.17,-10.0105,18.04,18.59,3.05,36.2
603272.SH,联翔股份,家居用品,424,22.09,10.01,20.95,22.09,5.44,20.81
603315.SH,福鞍股份,环境保护,424,18.3,-6.298,18.84,18.84,0.0,34.48
603390.SH,通达电气,汽车配件,424,14.6,10.0226,13.69,14.38,5.04,39.26
603538.SH,美诺华,化学制药,424,57.58,3.6544,55.0,57.4,4.36,37.37
603618.SH,杭电股份,电气设备,424,30.56,-2.7061,31.66,33.12,4.61,43.21
603687.SH,大胜达,广告包装,424,16.7,-10.0216,17.71,17.78,0.4,34.37
603738.SH,泰晶科技,元器件,424,39.81,7.5946,37.3,40.69,9.09,33.44
688001.SH,华兴源创,专用机械,424,50.55,9.7243,50.7,53.91,6.33,30.57
688106.SH,金宏气体,化工原料,424,36.12,5.0,35.5,38.96,9.75,29.8
688268.SH,华特气体,化工原料,424,176.8,20.0027,157.11,176.8,12.53,28.34
688633.SH,星球石墨,专用机械,424,33.6,20.0,30.0,31.5,5.0,27.39
688808.SH,联讯仪器,电器仪表,424,799.0,875.8183,736.92,752.0,2.05,78.66
